"ISO2338def"
"Dia","c"
"0.6 mm",0.12
"0.8 mm",0.16
"1 mm",0.2
"1.2 mm",0.25
"1.5 mm",0.3
"2 mm",0.35
"2.5 mm",0.4
"3 mm",0.5
"4 mm",0.63
"5 mm",0.8
"6 mm",1.2
"8 mm",1.6
"10 mm",2
"12 mm",2.5
"16 mm",3
"20 mm",3.5
"25 mm",4
"30 mm",5
"40 mm",6.3
"50 mm",8
