"ISO2341-Adef"
"ISO2341-Bdef"
"Dia","d_k","d_l","c_max.","e","k","l_e_min","r"
"3 mm",5,0.8,1,0.5,1,1.6,0.6
"4 mm",6,1,1,0.5,1,2.2,0.6
"5 mm",8,1.2,2,1,1.6,2.9,0.6
"6 mm",10,1.6,2,1,2,3.2,0.6
"8 mm",14,2,2,1,3,3.5,0.6
"10 mm",18,3.2,2,1,4,4.5,0.6
"12 mm",20,3.2,3,1.6,4,5.5,0.6
"14 mm",22,4,3,1.6,4,6,0.6
"16 mm",25,4,3,1.6,4.5,6,0.6
"18 mm",28,5,3,1.6,5,7,1
"20 mm",30,5,4,2,5,8,1
"22 mm",33,5,4,2,5.5,8,1
"24 mm",36,6.3,4,2,6,9,1
"27 mm",40,6.3,4,2,6,9,1
"30 mm",44,8,4,2,8,10,1
"33 mm",47,8,4,2,8,10,1
"36 mm",50,8,4,2,8,10,1
"40 mm",55,8,4,2,8,10,1
"45 mm",60,10,4,2,9,12,1
"50 mm",66,10,4,2,9,12,1
"55 mm",72,10,6,3,11,14,1
"60 mm",78,10,6,3,12,14,1
"70 mm",90,13,6,3,13,16,1
"80 mm",100,13,6,3,13,16,1
"90 mm",110,13,6,3,13,16,1
"100 mm",120,13,6,3,13,16,1
